segment Vanuatu
-17.573 168.218
-17.571 168.216
-17.568 168.214
-17.562 168.218
-17.557 168.229
-17.551 168.231
-17.536 168.229
-17.526 168.241
-17.524 168.25
-17.523 168.263
-17.521 168.268
-17.514 168.272
-17.508 168.285
-17.507 168.286
-17.51 168.292
segment Vanuatu
-17.516 168.409
-17.52 168.409
-17.523 168.405
-17.522 168.403
-17.52 168.403
-17.519 168.405
-17.516 168.409
segment Vanuatu
-17.556 168.286
-17.554 168.288
-17.548 168.281
-17.544 168.285
-17.533 168.309
-17.525 168.316
-17.526 168.326
-17.53 168.33
-17.536 168.328
-17.541 168.33
-17.547 168.335
-17.551 168.34
-17.551 168.343
-17.547 168.351
-17.546 168.352
-17.546 168.36
-17.543 168.365
-17.543 168.375
-17.537 168.395
-17.531 168.402
-17.532 168.414
-17.535 168.419
-17.534 168.425
-17.534 168.433
-17.537 168.445
-17.54 168.449
-17.562 168.463
-17.57 168.464
-17.576 168.469
-17.593 168.486
-17.598 168.496
-17.617 168.504
-17.627 168.5
-17.642 168.506
-17.645 168.51
-17.647 168.517
-17.658 168.527
-17.667 168.538
-17.668 168.543
-17.675 168.546
-17.68 168.545
-17.685 168.542
-17.687 168.545
-17.688 168.557
-17.689 168.564
-17.688 168.582
-17.689 168.588
-17.691 168.592
-17.696 168.594
-17.702 168.592
-17.742 168.564
-17.754 168.566
-17.76 168.564
-17.766 168.558
-17.787 168.559
-17.801 168.546
-17.803 168.541
-17.811 168.516
-17.81 168.503
-17.82 168.494
-17.813 168.469
-17.815 168.46
-17.814 168.458
-17.808 168.456
-17.807 168.454
-17.815 168.451
-17.824 168.436
-17.825 168.429
-17.828 168.408
-17.83 168.406
-17.829 168.4
-17.827 168.387
-17.824 168.381
-17.82 168.378
-17.814 168.378
-17.798 168.383
-17.792 168.382
-17.788 168.378
-17.79 168.375
-17.805 168.366
-17.807 168.363
-17.81 168.359
-17.808 168.35
-17.803 168.348
-17.802 168.353
-17.797 168.357
-17.792 168.355
-17.79 168.349
-17.787 168.349
-17.784 168.35
-17.781 168.347
-17.788 168.344
-17.789 168.342
-17.783 168.34
-17.783 168.337
-17.79 168.331
-17.784 168.329
-17.799 168.316
-17.799 168.313
-17.773 168.313
-17.765 168.321
-17.744 168.333
-17.743 168.337
-17.748 168.342
-17.756 168.349
-17.759 168.354
-17.758 168.361
-17.754 168.363
-17.751 168.36
-17.739 168.337
-17.74 168.33
-17.742 168.325
-17.751 168.32
-17.764 168.317
-17.767 168.315
-17.78 168.3
-17.781 168.295
-17.785 168.289
-17.785 168.285
-17.777 168.283
-17.776 168.28
-17.781 168.275
-17.779 168.27
-17.788 168.262
-17.785 168.257
-17.781 168.257
-17.775 168.26
-17.774 168.26
-17.773 168.262
-17.77 168.275
-17.763 168.288
-17.757 168.294
-17.761 168.298
-17.761 168.307
-17.757 168.313
-17.741 168.314
-17.727 168.311
-17.727 168.309
-17.735 168.305
-17.739 168.298
-17.739 168.295
-17.738 168.293
-17.734 168.292
-17.722 168.296
-17.72 168.296
-17.715 168.294
-17.708 168.286
-17.7 168.276
-17.698 168.267
-17.691 168.261
-17.69 168.255
-17.692 168.249
-17.697 168.241
-17.706 168.232
-17.712 168.221
-17.717 168.214
-17.723 168.21
-17.738 168.204
-17.742 168.199
-17.748 168.186
-17.747 168.183
-17.742 168.185
-17.74 168.184
-17.737 168.175
-17.734 168.172
-17.715 168.181
-17.71 168.18
-17.715 168.168
-17.716 168.16
-17.714 168.159
-17.705 168.164
-17.695 168.176
-17.68 168.184
-17.651 168.192
-17.646 168.199
-17.636 168.205
-17.636 168.206
-17.635 168.212
-17.632 168.217
-17.629 168.229
-17.622 168.237
-17.616 168.239
-17.607 168.246
-17.591 168.246
-17.585 168.247
-17.579 168.251
-17.573 168.262
-17.571 168.274
-17.568 168.277
-17.557 168.28
-17.556 168.286
segment Vanuatu
-17.616 168.222
-17.616 168.212
-17.61 168.198
-17.606 168.194
-17.601 168.196
-17.599 168.2
-17.596 168.201
-17.59 168.207
-17.585 168.209
-17.579 168.208
-17.579 168.21
-17.582 168.214
-17.592 168.216
-17.607 168.226
-17.612 168.225
-17.616 168.222
segment Vanuatu
-17.637 168.162
-17.647 168.152
-17.647 168.147
-17.646 168.145
-17.638 168.159
-17.637 168.162
segment Vanuatu
-17.806 168.336
-17.803 168.337
-17.802 168.339
-17.803 168.342
-17.806 168.342
-17.808 168.341
-17.806 168.336
segment Vanuatu
-18.636 169.047
-18.633 169.052
-18.632 169.057
-18.635 169.086
-18.631 169.093
-18.626 169.112
-18.634 169.119
-18.634 169.132
-18.635 169.137
-18.645 169.151
-18.657 169.16
-18.665 169.163
-18.67 169.161
-18.67 169.166
-18.672 169.17
-18.68 169.173
-18.699 169.176
-18.706 169.173
-18.71 169.174
-18.714 169.171
-18.719 169.177
-18.726 169.178
-18.734 169.176
-18.735 169.18
-18.735 169.186
-18.739 169.188
-18.743 169.191
-18.745 169.196
-18.752 169.206
-18.751 169.21
-18.754 169.216
-18.754 169.22
-18.739 169.246
-18.737 169.256
-18.746 169.263
-18.762 169.267
-18.767 169.276
-18.772 169.28
-18.778 169.283
-18.781 169.28
-18.781 169.277
-18.78 169.272
-18.781 169.258
-18.783 169.25
-18.783 169.235
-18.785 169.231
-18.784 169.221
-18.784 169.216
-18.79 169.209
-18.792 169.197
-18.791 169.195
-18.796 169.194
-18.795 169.199
-18.798 169.202
-18.815 169.212
-18.83 169.228
-18.835 169.237
-18.845 169.249
-18.852 169.271
-18.858 169.278
-18.861 169.286
-18.865 169.289
-18.864 169.293
-18.874 169.308
-18.883 169.315
-18.887 169.316
-18.887 169.319
-18.893 169.323
-18.9 169.329
-18.92 169.338
-18.923 169.336
-18.924 169.34
-18.939 169.345
-18.95 169.342
-18.976 169.321
-18.985 169.31
-18.987 169.305
-18.993 169.293
-19 169.288
-18.999 169.275
-18.994 169.265
-18.994 169.258
-18.99 169.252
-18.971 169.227
-18.964 169.201
-18.959 169.193
-18.96 169.189
-18.953 169.178
-18.948 169.174
-18.943 169.177
-18.94 169.174
-18.946 169.169
-18.947 169.166
-18.945 169.155
-18.95 169.143
-18.94 169.114
-18.939 169.109
-18.933 169.101
-18.93 169.092
-18.925 169.088
-18.923 169.079
-18.924 169.069
-18.918 169.064
-18.911 169.06
-18.904 169.062
-18.902 169.046
-18.902 169.034
-18.898 169.026
-18.893 169.017
-18.891 169.008
-18.88 168.995
-18.876 168.992
-18.858 168.991
-18.853 168.992
-18.85 168.993
-18.846 168.997
-18.829 169.016
-18.826 169.025
-18.817 169.012
-18.813 169.011
-18.801 169.008
-18.773 168.989
-18.766 168.988
-18.763 168.988
-18.756 168.991
-18.743 168.991
-18.739 168.992
-18.734 168.994
-18.729 168.999
-18.716 169.004
-18.702 169
-18.697 168.999
-18.693 168.999
-18.683 169.003
-18.665 169.012
-18.652 169.025
-18.639 169.04
