segment Bolivia
-16.563 -58.384
-16.565 -58.385
-16.57 -58.389
-16.588 -58.398
-16.597 -58.419
-16.617 -58.435
-16.613 -58.442
-16.618 -58.441
-16.624 -58.439
-16.632 -58.443
-16.634 -58.442
-16.639 -58.447
-16.648 -58.451
-16.654 -58.452
-16.657 -58.456
-16.667 -58.457
-16.673 -58.461
-16.702 -58.468
-16.724 -58.465
-16.74 -58.469
-16.747 -58.468
-16.754 -58.469
-16.762 -58.464
-16.774 -58.464
-16.779 -58.464
-16.791 -58.459
-16.795 -58.459
-16.8 -58.472
-16.806 -58.474
-16.822 -58.476
-16.832 -58.473
-16.841 -58.461
-16.845 -58.46
-16.853 -58.465
-16.858 -58.459
-16.859 -58.459
-16.859 -58.464
-16.862 -58.464
-16.866 -58.459
-16.868 -58.458
-16.87 -58.462
-16.87 -58.463
-16.875 -58.464
-16.894 -58.461
-16.899 -58.464
-16.901 -58.459
-16.903 -58.458
-16.911 -58.462
-16.913 -58.471
-16.916 -58.474
-16.924 -58.469
-16.932 -58.468
-16.939 -58.47
-16.941 -58.469
-16.942 -58.466
-16.943 -58.455
-16.947 -58.454
-16.961 -58.458
-16.967 -58.456
-16.972 -58.45
-16.973 -58.443
-16.985 -58.441
-16.988 -58.439
-16.989 -58.436
-16.994 -58.433
-16.994 -58.429
-16.988 -58.425
-16.99 -58.421
-16.995 -58.419
-17.006 -58.422
-17.02 -58.429
-17.029 -58.43
-17.035 -58.427
-17.04 -58.412
-17.045 -58.412
-17.046 -58.416
-17.05 -58.427
-17.052 -58.426
-17.056 -58.423
-17.058 -58.416
-17.061 -58.416
-17.064 -58.421
-17.069 -58.422
-17.084 -58.429
-17.09 -58.428
-17.097 -58.422
-17.115 -58.423
-17.121 -58.418
-17.118 -58.391
-17.118 -58.387
-17.117 -58.386
-17.121 -58.382
-17.126 -58.382
-17.132 -58.384
-17.144 -58.391
-17.186 -58.391
-17.192 -58.395
-17.197 -58.395
-17.2 -58.392
-17.199 -58.386
-17.206 -58.381
-17.206 -58.372
-17.212 -58.36
-17.213 -58.359
-17.216 -58.358
-17.224 -58.358
-17.224 -58.354
-17.221 -58.351
-17.222 -58.349
-17.241 -58.339
-17.245 -58.334
-17.251 -58.333
-17.261 -58.318
-17.273 -58.315
-17.276 -58.311
-17.277 -58.302
-17.281 -58.298
-17.29 -58.296
-17.296 -58.287
-17.298 -58.289
-17.304 -58.294
-17.31 -58.291
-17.311 -58.286
-17.309 -58.277
-17.309 -58.272
-17.311 -58.271
-17.326 -58.272
-17.334 -58.268
-17.34 -58.26
-17.354 -58.256
-17.357 -58.25
-17.362 -58.245
-17.363 -58.242
-17.356 -58.23
-17.356 -58.222
-17.361 -58.22
-17.362 -58.22
-17.366 -58.214
-17.364 -58.201
-17.366 -58.194
-17.371 -58.191
-17.382 -58.192
-17.393 -58.191
-17.397 -58.184
-17.395 -58.17
-17.391 -58.15
-17.397 -58.147
-17.413 -58.144
-17.417 -58.139
-17.418 -58.138
-17.414 -58.122
-17.418 -58.118
-17.425 -58.114
-17.444 -58.115
-17.456 -58.114
-17.46 -58.107
-17.465 -58.077
-17.456 -58.065
-17.457 -58.056
-17.46 -58.053
-17.468 -58.049
-17.486 -58.044
-17.494 -58.039
-17.5 -58.027
-17.508 -58.018
-17.52 -58.003
-17.518 -57.99
-17.513 -57.983
-17.501 -57.97
-17.497 -57.963
-17.46 -57.902
-17.459 -57.896
-17.463 -57.878
-17.471 -57.858
-17.479 -57.846
-17.521 -57.803
-17.527 -57.802
-17.541 -57.805
-17.552 -57.797
-17.555 -57.793
-17.553 -57.773
-17.558 -57.77
-17.561 -57.77
-17.562 -57.77
-17.565 -57.773
-17.567 -57.788
-17.562 -57.8
-17.573 -57.793
-17.58 -57.792
-17.585 -57.79
-17.592 -57.794
-17.595 -57.787
-17.598 -57.786
-17.603 -57.79
-17.606 -57.781
-17.611 -57.78
-17.614 -57.782
-17.616 -57.786
-17.625 -57.778
-17.631 -57.78
-17.64 -57.785
-17.645 -57.785
-17.657 -57.78
-17.668 -57.765
-17.689 -57.754
-17.699 -57.743
-17.72 -57.735
-17.726 -57.723
-17.731 -57.718
-17.734 -57.715
-17.735 -57.715
-17.75 -57.713
-17.774 -57.717
-17.782 -57.715
-17.8 -57.693
-17.809 -57.689
-17.827 -57.688
-17.83 -57.689
-17.831 -57.696
-17.831 -57.704
-17.831 -57.709
-17.833 -57.713
-17.857 -57.703
-17.86 -57.702
-17.922 -57.67
-17.939 -57.66
-17.945 -57.656
-17.963 -57.648
-17.976 -57.638
-17.992 -57.63
-18.012 -57.618
-18.021 -57.611
-18.046 -57.599
-18.05 -57.598
-18.082 -57.585
-18.128 -57.573
-18.136 -57.568
-18.154 -57.552
-18.161 -57.543
-18.193 -57.507
-18.196 -57.501
-18.199 -57.487
-18.202 -57.482
-18.217 -57.475
-18.222 -57.47
-18.226 -57.46
-18.228 -57.458
-18.232 -57.459
-18.231 -57.471
-18.232 -57.472
-18.238 -57.501
-18.242 -57.534
-18.245 -57.544
-18.249 -57.55
-18.255 -57.555
-18.263 -57.56
-18.29 -57.569
-18.294 -57.57
-18.326 -57.579
-18.335 -57.584
-18.343 -57.592
-18.346 -57.594
-18.363 -57.601
-18.411 -57.616
-18.511 -57.645
-18.532 -57.652
-18.653 -57.691
-18.774 -57.73
-18.858 -57.757
-18.895 -57.767
-18.897 -57.767
-18.903 -57.769
-18.906 -57.767
-18.909 -57.761
-18.909 -57.752
-18.907 -57.735
-18.91 -57.724
-18.914 -57.72
-18.928 -57.715
-18.945 -57.718
-18.973 -57.714
-18.98 -57.712
-18.983 -57.711
-18.99 -57.707
-19.001 -57.705
-19.016 -57.708
-19.034 -57.709
-19.041 -57.715
-19.043 -57.722
-19.038 -57.747
-19.04 -57.766
-19.036 -57.773
