segment Mississippi
31.946 -91.19
31.953 -91.189
31.957 -91.189
31.958 -91.189
31.961 -91.188
31.966 -91.185
31.973 -91.177
31.974 -91.177
31.977 -91.173
31.979 -91.17
31.981 -91.168
31.983 -91.164
31.987 -91.117
31.99 -91.104
31.995 -91.096
32 -91.09
32.017 -91.076
32.018 -91.08
32.023 -91.081
32.029 -91.083
32.031 -91.084
32.034 -91.088
32.037 -91.096
32.043 -91.125
32.047 -91.145
32.049 -91.151
32.053 -91.156
32.056 -91.159
32.06 -91.161
32.062 -91.162
32.065 -91.162
32.068 -91.162
32.07 -91.16
32.076 -91.156
32.08 -91.149
32.081 -91.145
32.082 -91.139
32.081 -91.136
32.08 -91.135
32.077 -91.129
32.072 -91.124
32.058 -91.114
32.05 -91.104
32.048 -91.099
32.048 -91.085
32.048 -91.082
32.048 -91.08
32.05 -91.079
32.076 -91.082
32.078 -91.082
32.078 -91.081
32.079 -91.081
32.079 -91.08
32.085 -91.067
32.098 -91.039
32.101 -91.035
32.108 -91.031
32.115 -91.031
32.121 -91.031
32.121 -91.027
32.124 -91.02
32.124 -91.019
32.125 -91.018
32.126 -91.017
32.129 -91.014
32.131 -91.012
32.132 -91.011
32.134 -91.01
32.14 -91.006
32.143 -91.005
32.146 -91.004
32.157 -91.006
32.161 -91.017
32.163 -91.025
32.168 -91.032
32.175 -91.042
32.178 -91.05
32.177 -91.058
32.171 -91.059
32.164 -91.056
32.157 -91.05
32.15 -91.049
32.145 -91.05
32.144 -91.051
32.124 -91.053
32.127 -91.062
32.131 -91.069
32.133 -91.077
32.134 -91.082
32.134 -91.092
32.131 -91.101
32.13 -91.104
32.125 -91.111
32.126 -91.114
32.126 -91.129
32.126 -91.131
32.126 -91.132
32.127 -91.134
32.127 -91.137
32.13 -91.144
32.132 -91.155
32.133 -91.163
32.134 -91.165
32.143 -91.171
32.144 -91.172
32.145 -91.172
32.148 -91.173
32.149 -91.173
32.15 -91.174
32.154 -91.174
32.155 -91.175
32.156 -91.174
32.164 -91.174
32.177 -91.171
32.187 -91.168
32.191 -91.166
32.196 -91.164
32.197 -91.164
32.199 -91.162
32.202 -91.158
32.213 -91.134
32.214 -91.13
32.213 -91.128
32.211 -91.124
32.208 -91.119
32.207 -91.117
32.207 -91.114
32.207 -91.113
32.208 -91.109
32.218 -91.1
32.224 -91.092
32.226 -91.084
32.227 -91.075
32.226 -91.071
32.219 -91.061
32.225 -91.055
32.228 -91.053
32.234 -91.052
32.238 -91.05
32.241 -91.047
32.242 -91.039
32.242 -91.034
32.239 -91.027
32.236 -91.022
32.226 -91.01
32.224 -91.006
32.221 -91.005
32.219 -91.004
32.216 -91.002
32.215 -91.001
32.215 -91
32.214 -90.997
32.214 -90.994
32.215 -90.991
32.216 -90.989
32.218 -90.986
32.221 -90.983
32.226 -90.983
32.231 -90.983
32.244 -90.98
32.248 -90.976
32.252 -90.97
32.253 -90.969
32.258 -90.971
32.265 -90.98
32.267 -90.981
32.27 -90.983
32.28 -90.984
32.291 -90.981
32.294 -90.979
32.296 -90.976
32.297 -90.975
32.297 -90.972
32.297 -90.964
32.296 -90.963
32.293 -90.961
32.286 -90.955
32.284 -90.953
32.283 -90.951
32.283 -90.949
32.283 -90.948
32.285 -90.945
32.29 -90.935
32.29 -90.934
32.297 -90.925
32.298 -90.923
32.299 -90.922
32.304 -90.916
32.314 -90.906
32.315 -90.906
32.315 -90.905
32.32 -90.903
32.323 -90.901
32.33 -90.901
32.337 -90.905
32.339 -90.912
32.342 -90.921
32.345 -90.933
32.345 -90.935
32.346 -90.943
32.346 -90.955
32.352 -90.987
32.354 -90.994
32.358 -91
32.361 -91.003
32.362 -91.004
32.365 -91.005
32.368 -91.005
32.382 -91.001
32.388 -90.996
32.392 -90.995
32.397 -90.994
32.404 -90.994
32.408 -90.981
32.412 -90.975
32.412 -90.974
32.415 -90.971
32.416 -90.97
32.417 -90.969
32.418 -90.968
32.421 -90.966
32.425 -90.966
32.434 -90.966
32.435 -90.967
32.438 -90.969
32.439 -90.97
32.446 -90.978
32.447 -90.979
32.448 -90.981
32.449 -90.982
32.449 -90.983
32.451 -90.994
32.45 -90.999
32.446 -91.005
32.44 -91.017
32.434 -91.026
32.434 -91.03
32.435 -91.034
32.438 -91.053
32.445 -91.07
32.45 -91.082
32.459 -91.095
32.47 -91.106
32.472 -91.109
32.475 -91.111
32.476 -91.112
32.479 -91.114
32.483 -91.116
32.484 -91.116
32.495 -91.117
32.5 -91.117
32.515 -91.107
32.526 -91.101
32.533 -91.099
32.537 -91.098
32.545 -91.098
32.549 -91.094
32.533 -91.075
32.528 -91.07
32.512 -91.061
32.5 -91.051
32.496 -91.046
32.49 -91.038
32.489 -91.034
32.485 -91.024
32.484 -91.017
32.482 -91.005
32.482 -91.004
32.482 -91.003
32.483 -90.999
32.484 -90.996
32.485 -90.995
32.488 -90.991
32.491 -90.988
32.494 -90.988
