segment Nebraska
40.987 -95.84
40.986 -95.839
40.986 -95.838
40.983 -95.835
40.983 -95.834
40.982 -95.833
40.979 -95.831
40.978 -95.83
40.976 -95.829
40.972 -95.828
40.964 -95.83
40.959 -95.833
40.951 -95.838
40.94 -95.84
40.933 -95.84
40.927 -95.838
40.925 -95.838
40.922 -95.836
40.917 -95.833
40.915 -95.831
40.907 -95.819
40.904 -95.815
40.903 -95.814
40.898 -95.811
40.895 -95.81
40.894 -95.81
40.891 -95.809
40.887 -95.811
40.884 -95.812
40.883 -95.813
40.881 -95.815
40.88 -95.816
40.879 -95.817
40.878 -95.819
40.877 -95.82
40.875 -95.824
40.875 -95.825
40.872 -95.838
40.872 -95.839
40.872 -95.84
40.871 -95.84
40.871 -95.841
40.87 -95.843
40.869 -95.844
40.866 -95.847
40.864 -95.848
40.861 -95.849
40.86 -95.849
40.859 -95.848
40.854 -95.847
40.846 -95.841
40.835 -95.837
40.831 -95.837
40.826 -95.839
40.818 -95.844
40.815 -95.845
40.811 -95.845
40.804 -95.844
40.791 -95.836
40.788 -95.835
40.787 -95.834
40.784 -95.834
40.783 -95.834
40.779 -95.835
40.776 -95.837
40.775 -95.839
40.771 -95.843
40.769 -95.847
40.768 -95.848
40.766 -95.852
40.766 -95.853
40.764 -95.858
40.763 -95.862
40.762 -95.864
40.762 -95.865
40.76 -95.87
40.759 -95.872
40.758 -95.873
40.757 -95.874
40.754 -95.878
40.753 -95.879
40.752 -95.88
40.748 -95.884
40.742 -95.887
40.736 -95.889
40.732 -95.889
40.721 -95.885
40.718 -95.883
40.714 -95.877
40.714 -95.875
40.712 -95.87
40.712 -95.868
40.71 -95.863
40.709 -95.861
40.708 -95.859
40.703 -95.854
40.702 -95.853
40.698 -95.85
40.694 -95.848
40.693 -95.848
40.69 -95.847
40.684 -95.846
40.683 -95.846
40.681 -95.845
40.68 -95.845
40.677 -95.843
40.675 -95.838
40.674 -95.838
40.674 -95.837
40.673 -95.836
40.671 -95.832
40.671 -95.831
40.67 -95.831
40.668 -95.824
40.667 -95.823
40.667 -95.822
40.666 -95.814
40.665 -95.804
40.663 -95.797
40.662 -95.795
40.659 -95.789
40.657 -95.787
40.653 -95.782
40.647 -95.776
40.645 -95.774
40.642 -95.773
40.639 -95.771
40.636 -95.771
40.635 -95.77
40.631 -95.77
40.624 -95.77
40.621 -95.769
40.619 -95.767
40.617 -95.764
40.614 -95.758
40.61 -95.753
40.609 -95.751
40.607 -95.75
40.606 -95.749
40.604 -95.749
40.603 -95.749
40.602 -95.749
40.601 -95.749
40.6 -95.749
40.597 -95.75
40.593 -95.753
40.589 -95.759
40.585 -95.766
40.583 -95.769
40.578 -95.774
40.574 -95.775
40.566 -95.772
40.557 -95.765
40.554 -95.764
40.551 -95.763
40.548 -95.764
40.546 -95.765
40.54 -95.768
40.537 -95.769
40.534 -95.769
40.532 -95.767
40.528 -95.763
40.526 -95.757
40.524 -95.749
40.524 -95.737
40.525 -95.731
40.528 -95.725
40.528 -95.722
40.527 -95.714
40.524 -95.71
40.522 -95.709
40.528 -95.697
40.533 -95.695
40.537 -95.697
40.545 -95.697
40.551 -95.695
40.557 -95.694
40.561 -95.687
40.563 -95.679
40.563 -95.672
40.557 -95.665
40.55 -95.662
40.547 -95.656
40.542 -95.653
40.538 -95.652
40.524 -95.656
40.517 -95.662
40.515 -95.668
40.508 -95.692
40.506 -95.696
40.505 -95.7
40.503 -95.691
40.503 -95.69
40.502 -95.686
40.499 -95.683
40.497 -95.681
40.494 -95.681
40.491 -95.681
40.487 -95.684
40.485 -95.686
40.484 -95.689
40.482 -95.696
40.481 -95.697
40.479 -95.697
40.476 -95.696
40.471 -95.695
40.469 -95.693
40.465 -95.687
40.464 -95.686
40.463 -95.684
40.46 -95.677
40.457 -95.672
40.459 -95.657
40.459 -95.656
40.46 -95.653
40.46 -95.65
40.459 -95.647
40.458 -95.645
40.457 -95.644
40.454 -95.645
40.447 -95.649
40.444 -95.65
40.441 -95.65
40.438 -95.647
40.436 -95.643
40.435 -95.641
40.434 -95.64
40.432 -95.642
40.429 -95.647
40.427 -95.65
40.425 -95.658
40.421 -95.66
40.419 -95.661
40.416 -95.661
40.409 -95.659
40.396 -95.649
40.387 -95.644
40.378 -95.642
40.375 -95.643
40.37 -95.642
40.366 -95.641
40.364 -95.639
40.361 -95.637
40.357 -95.631
40.356 -95.63
40.354 -95.628
40.353 -95.627
40.349 -95.625
40.347 -95.624
40.345 -95.623
40.341 -95.623
40.338 -95.623
40.334 -95.625
40.331 -95.63
40.329 -95.634
40.326 -95.648
40.323 -95.654
40.319 -95.657
40.316 -95.658
40.313 -95.658
40.311 -95.657
40.308 -95.654
40.307 -95.652
40.306 -95.645
40.306 -95.642
40.308 -95.636
40.312 -95.623
40.314 -95.618
40.314 -95.613
40.314 -95.61
40.313 -95.605
40.31 -95.599
40.303 -95.59
40.302 -95.587
40.3 -95.582
