segment Indiana
38.447 -87.73
38.453 -87.736
38.459 -87.743
38.468 -87.744
38.475 -87.74
38.479 -87.731
38.48 -87.714
38.488 -87.693
38.498 -87.678
38.503 -87.664
38.507 -87.657
38.512 -87.654
38.517 -87.654
38.521 -87.656
38.541 -87.661
38.554 -87.652
38.556 -87.651
38.557 -87.651
38.56 -87.651
38.568 -87.652
38.585 -87.64
38.589 -87.638
38.59 -87.63
38.59 -87.629
38.591 -87.626
38.594 -87.624
38.597 -87.624
38.605 -87.627
38.609 -87.626
38.619 -87.622
38.635 -87.621
38.639 -87.62
38.64 -87.62
38.641 -87.618
38.658 -87.602
38.667 -87.594
38.674 -87.564
38.678 -87.546
38.682 -87.536
38.684 -87.532
38.684 -87.531
38.685 -87.53
38.687 -87.529
38.695 -87.521
38.697 -87.52
38.701 -87.519
38.716 -87.517
38.728 -87.507
38.734 -87.504
38.737 -87.501
38.741 -87.498
38.743 -87.496
38.758 -87.499
38.768 -87.498
38.779 -87.497
38.818 -87.527
38.822 -87.525
38.827 -87.522
38.831 -87.522
38.849 -87.526
38.853 -87.537
38.86 -87.551
38.863 -87.553
38.876 -87.547
38.891 -87.545
38.895 -87.544
38.902 -87.535
38.908 -87.528
38.923 -87.519
38.925 -87.518
38.932 -87.517
38.933 -87.517
38.943 -87.515
38.947 -87.514
38.95 -87.513
38.954 -87.512
38.956 -87.514
38.958 -87.516
38.969 -87.526
38.972 -87.529
38.977 -87.544
38.979 -87.549
38.989 -87.578
38.99 -87.578
39.002 -87.579
39.004 -87.578
39.019 -87.57
39.034 -87.575
39.049 -87.573
39.057 -87.573
39.08 -87.596
39.081 -87.604
39.082 -87.609
39.085 -87.613
39.086 -87.614
39.09 -87.617
39.094 -87.617
39.096 -87.617
39.101 -87.619
39.102 -87.625
39.104 -87.63
39.105 -87.631
39.107 -87.632
39.111 -87.633
39.114 -87.633
39.115 -87.633
39.119 -87.632
39.129 -87.643
39.145 -87.646
39.157 -87.643
39.161 -87.642
39.167 -87.64
39.169 -87.635
39.175 -87.621
39.186 -87.606
39.186 -87.605
39.198 -87.589
39.201 -87.586
39.211 -87.577
39.218 -87.575
39.233 -87.579
39.244 -87.584
39.247 -87.593
39.259 -87.604
39.261 -87.606
39.278 -87.609
39.282 -87.61
39.293 -87.6
39.295 -87.599
39.296 -87.598
39.297 -87.598
39.298 -87.598
39.299 -87.598
39.313 -87.6
39.323 -87.595
39.332 -87.59
39.334 -87.589
39.339 -87.58
39.34 -87.578
39.34 -87.568
39.34 -87.555
39.34 -87.554
39.341 -87.554
39.346 -87.55
39.353 -87.544
39.348 -87.533
39.348 -87.532
39.437 -87.531
39.438 -87.531
39.449 -87.531
39.466 -87.532
39.469 -87.532
39.477 -87.532
39.486 -87.532
39.492 -87.532
39.496 -87.532
39.52 -87.532
39.527 -87.532
39.535 -87.532
39.546 -87.532
39.564 -87.532
39.607 -87.532
39.646 -87.532
39.665 -87.533
39.694 -87.533
39.731 -87.533
39.745 -87.533
39.782 -87.533
39.796 -87.533
39.804 -87.533
39.811 -87.533
39.823 -87.533
39.883 -87.533
39.91 -87.533
39.947 -87.533
39.971 -87.533
39.975 -87.533
39.978 -87.533
39.986 -87.533
39.987 -87.533
39.998 -87.532
40 -87.532
40.011 -87.532
40.012 -87.532
40.133 -87.532
40.144 -87.532
40.148 -87.531
40.17 -87.531
40.177 -87.531
40.192 -87.531
40.194 -87.531
