segment Idaho
43.578 -117.027
43.579 -117.027
43.594 -117.027
43.596 -117.027
43.6 -117.027
43.602 -117.027
43.611 -117.027
43.618 -117.027
43.621 -117.027
43.624 -117.027
43.625 -117.027
43.632 -117.027
43.664 -117.027
43.676 -117.027
43.681 -117.027
43.683 -117.027
43.694 -117.027
43.706 -117.027
43.715 -117.027
43.733 -117.027
43.734 -117.027
43.778 -117.027
43.805 -117.027
43.807 -117.027
43.808 -117.027
43.826 -117.027
43.83 -117.027
43.832 -117.027
43.834 -117.026
43.842 -117.023
43.853 -117.017
43.859 -117.014
43.862 -117.011
43.864 -117.001
43.865 -116.999
43.865 -116.997
43.864 -116.991
43.864 -116.99
43.866 -116.987
43.868 -116.983
43.869 -116.982
43.88 -116.98
43.894 -116.976
43.895 -116.976
43.896 -116.976
43.901 -116.976
43.906 -116.977
43.917 -116.968
43.919 -116.966
43.921 -116.964
43.928 -116.962
43.933 -116.963
43.946 -116.963
43.953 -116.964
43.956 -116.966
43.957 -116.968
43.957 -116.969
43.959 -116.97
43.96 -116.971
43.963 -116.972
43.965 -116.971
43.968 -116.97
43.969 -116.966
43.972 -116.958
43.984 -116.946
43.988 -116.943
43.989 -116.942
43.997 -116.94
44.002 -116.939
44.011 -116.937
44.012 -116.936
44.021 -116.934
44.024 -116.935
44.025 -116.935
44.029 -116.937
44.036 -116.943
44.04 -116.95
44.043 -116.956
44.049 -116.973
44.054 -116.974
44.084 -116.977
44.085 -116.977
44.086 -116.977
44.088 -116.974
44.091 -116.968
44.091 -116.967
44.092 -116.957
44.094 -116.944
44.094 -116.943
44.095 -116.942
44.095 -116.941
44.096 -116.939
44.097 -116.938
44.1 -116.934
44.107 -116.928
44.109 -116.928
44.125 -116.917
44.126 -116.916
44.13 -116.913
44.153 -116.897
44.154 -116.896
44.158 -116.894
44.16 -116.894
44.161 -116.894
44.171 -116.896
44.177 -116.9
44.179 -116.903
44.18 -116.903
44.18 -116.904
44.192 -116.925
44.192 -116.926
44.194 -116.935
44.194 -116.941
44.192 -116.945
44.191 -116.948
44.194 -116.965
44.195 -116.967
44.197 -116.972
44.208 -116.974
44.226 -116.974
44.227 -116.974
44.234 -116.972
44.235 -116.972
44.236 -116.972
44.237 -116.972
44.238 -116.973
44.24 -116.974
44.243 -116.976
44.244 -116.982
44.245 -116.987
44.245 -117.001
44.245 -117.017
44.246 -117.02
44.249 -117.025
44.249 -117.028
44.249 -117.032
44.247 -117.036
44.243 -117.042
44.232 -117.046
44.231 -117.046
44.23 -117.047
44.23 -117.048
44.229 -117.05
44.229 -117.052
44.229 -117.053
44.231 -117.057
44.237 -117.059
44.244 -117.067
44.248 -117.074
44.25 -117.078
44.258 -117.09
44.26 -117.091
44.269 -117.094
44.271 -117.095
44.276 -117.099
44.279 -117.102
44.28 -117.104
44.281 -117.108
44.281 -117.112
44.28 -117.113
44.28 -117.115
44.279 -117.118
44.278 -117.121
44.269 -117.131
44.267 -117.133
44.264 -117.133
44.263 -117.134
44.259 -117.139
44.258 -117.143
44.257 -117.157
44.259 -117.17
44.271 -117.193
44.274 -117.198
44.288 -117.217
44.298 -117.223
44.299 -117.222
44.301 -117.22
44.307 -117.218
44.308 -117.217
44.309 -117.215
44.312 -117.205
44.313 -117.203
44.329 -117.192
44.33 -117.192
44.335 -117.19
44.337 -117.19
44.346 -117.196
44.347 -117.197
44.355 -117.207
44.358 -117.211
44.36 -117.217
44.368 -117.228
44.374 -117.235
44.391 -117.243
44.397 -117.243
44.4 -117.235
44.406 -117.227
44.408 -117.225
44.421 -117.218
44.427 -117.215
44.448 -117.215
44.454 -117.216
44.459 -117.217
44.47 -117.222
44.474 -117.224
44.475 -117.225
44.476 -117.225
44.477 -117.226
44.479 -117.226
44.48 -117.226
44.482 -117.225
44.484 -117.224
44.486 -117.216
44.485 -117.211
44.486 -117.209
44.492 -117.2
44.5 -117.194
44.503 -117.192
44.507 -117.191
44.51 -117.192
44.513 -117.19
44.519 -117.185
44.523 -117.182
44.523 -117.167
44.525 -117.161
44.532 -117.152
44.536 -117.149
44.546 -117.144
44.557 -117.143
44.562 -117.148
44.564 -117.148
44.569 -117.146
44.571 -117.142
44.573 -117.138
44.575 -117.134
44.582 -117.126
44.584 -117.125
44.594 -117.125
44.611 -117.121
44.615 -117.121
44.62 -117.118
44.625 -117.115
44.627 -117.108
44.641 -117.098
44.652 -117.095
44.657 -117.097
44.665 -117.096
44.669 -117.091
44.682 -117.082
44.684 -117.081
44.687 -117.081
44.692 -117.079
44.701 -117.072
44.704 -117.064
44.707 -117.062
44.722 -117.06
44.727 -117.062
44.745 -117.044
44.748 -117.038
44.756 -117.015
44.757 -117.014
44.757 -117.013
44.756 -117.006
44.756 -117.005
44.756 -116.999
44.759 -116.992
44.762 -116.987
44.768 -116.978
44.773 -116.973
44.774 -116.971
44.775 -116.967
44.778 -116.949
44.783 -116.937
44.784 -116.935
44.787 -116.932
44.79 -116.931
44.791 -116.931
44.794 -116.933
44.797 -116.934
44.799 -116.934
44.805 -116.931
44.808 -116.928
44.814 -116.921
44.835 -116.906
44.838 -116.904
44.841 -116.902
44.848 -116.896
44.858 -116.884
44.871 -116.865
44.881 -116.857
44.888 -116.852
44.894 -116.851
44.905 -116.846
44.915 -116.842
44.924 -116.838
44.929 -116.834
44.931 -116.832
44.933 -116.832
44.941 -116.836
44.952 -116.846
44.958 -116.851
44.96 -116.851
44.977 -116.858
44.978 -116.858
44.979 -116.858
44.98 -116.858
44.984 -116.857
45 -116.846
45.001 -116.845
45.015 -116.845
45.018 -116.846
45.022 -116.848
45.023 -116.848
45.031 -116.841
45.035 -116.83
45.038 -116.825
45.051 -116.809
45.06 -116.797
45.075 -116.785
45.077 -116.784
45.088 -116.784
45.094 -116.784
45.096 -116.782
45.106 -116.775
45.114 -116.755
45.14 -116.731
45.142 -116.73
45.144 -116.729
45.163 -116.724
45.172 -116.724
45.203 -116.71
45.207 -116.709
45.217 -116.71
45.219 -116.709
45.24 -116.704
45.255 -116.696
45.264 -116.691
45.268 -116.687
45.271 -116.681
45.275 -116.676
