segment Iowa
40.571 -94.542
40.571 -94.547
40.571 -94.586
40.571 -94.594
40.571 -94.632
40.572 -94.683
40.572 -94.688
40.572 -94.692
40.572 -94.698
40.572 -94.715
40.572 -94.717
40.573 -94.774
40.573 -94.802
40.574 -94.811
40.574 -94.82
40.574 -94.824
40.575 -94.897
40.575 -94.901
40.575 -94.915
40.576 -94.955
40.576 -94.966
40.576 -94.981
40.576 -94.992
40.576 -95.023
40.576 -95.026
40.576 -95.031
40.576 -95.04
40.577 -95.069
40.577 -95.08
40.577 -95.098
40.577 -95.107
40.577 -95.11
40.577 -95.111
40.577 -95.112
40.577 -95.121
40.578 -95.145
40.578 -95.154
40.578 -95.155
40.578 -95.164
40.579 -95.211
40.579 -95.212
40.579 -95.213
40.579 -95.217
40.579 -95.219
40.579 -95.222
40.579 -95.231
40.579 -95.251
40.579 -95.259
40.58 -95.336
40.58 -95.358
40.581 -95.374
40.581 -95.415
40.582 -95.469
40.582 -95.488
40.582 -95.525
40.582 -95.527
40.582 -95.533
40.583 -95.555
40.583 -95.574
40.583 -95.611
40.584 -95.638
40.584 -95.642
40.584 -95.644
40.584 -95.652
40.584 -95.687
40.584 -95.688
40.585 -95.746
40.585 -95.766
40.589 -95.759
40.593 -95.753
40.597 -95.75
40.6 -95.749
40.603 -95.749
40.607 -95.75
40.609 -95.751
40.614 -95.758
40.617 -95.764
40.619 -95.767
40.621 -95.769
40.624 -95.77
40.635 -95.77
40.636 -95.771
40.639 -95.771
40.64 -95.771
40.64 -95.772
40.642 -95.773
40.644 -95.774
40.647 -95.776
40.653 -95.782
40.654 -95.783
40.656 -95.785
40.657 -95.787
40.659 -95.789
40.662 -95.795
40.665 -95.804
40.666 -95.814
40.667 -95.823
40.671 -95.832
40.674 -95.838
40.677 -95.843
40.68 -95.845
40.681 -95.845
40.683 -95.846
40.684 -95.846
40.694 -95.848
40.698 -95.85
40.702 -95.853
40.708 -95.859
40.712 -95.87
40.714 -95.875
40.714 -95.877
40.718 -95.883
40.721 -95.885
40.732 -95.889
40.736 -95.889
40.742 -95.887
40.748 -95.884
40.753 -95.879
40.758 -95.873
40.76 -95.87
40.763 -95.862
40.765 -95.855
40.766 -95.853
40.766 -95.852
40.768 -95.848
40.769 -95.847
40.77 -95.844
40.771 -95.844
40.771 -95.843
40.775 -95.839
40.776 -95.837
40.779 -95.835
40.783 -95.834
40.787 -95.834
40.788 -95.835
40.791 -95.836
40.804 -95.844
40.811 -95.845
40.815 -95.845
40.818 -95.844
