segment California
34.882 -120.64
34.891 -120.642
34.894 -120.642
34.901 -120.647
34.901 -120.648
34.901 -120.663
34.904 -120.671
34.926 -120.664
34.974 -120.649
35.001 -120.641
35.003 -120.64
35.028 -120.635
35.031 -120.634
35.033 -120.634
35.062 -120.63
35.078 -120.63
35.101 -120.631
35.102 -120.631
35.103 -120.631
35.105 -120.632
35.118 -120.634
35.122 -120.635
35.124 -120.636
35.125 -120.636
35.128 -120.638
35.129 -120.639
35.14 -120.644
35.148 -120.651
35.15 -120.655
35.153 -120.662
35.152 -120.668
35.153 -120.675
35.153 -120.676
35.161 -120.687
35.171 -120.699
35.173 -120.704
35.175 -120.711
35.176 -120.714
35.176 -120.716
35.178 -120.734
35.178 -120.735
35.178 -120.736
35.178 -120.739
35.178 -120.742
35.178 -120.749
35.177 -120.751
35.175 -120.755
35.169 -120.757
35.16 -120.756
35.16 -120.76
35.169 -120.779
35.178 -120.786
35.185 -120.805
35.191 -120.818
35.196 -120.829
35.204 -120.847
35.206 -120.856
35.212 -120.861
35.219 -120.867
35.226 -120.873
35.231 -120.879
35.248 -120.897
35.254 -120.897
35.259 -120.895
35.265 -120.893
35.278 -120.889
35.283 -120.886
35.293 -120.88
35.294 -120.88
35.297 -120.879
35.306 -120.875
35.326 -120.868
35.327 -120.867
35.328 -120.867
35.347 -120.863
35.354 -120.862
35.361 -120.862
35.367 -120.863
35.368 -120.863
35.371 -120.863
35.376 -120.864
35.393 -120.866
35.403 -120.869
35.41 -120.873
35.411 -120.874
35.412 -120.875
35.413 -120.875
35.415 -120.876
35.43 -120.885
35.434 -120.888
35.442 -120.897
35.449 -120.908
35.448 -120.927
35.447 -120.947
35.448 -120.951
35.454 -120.956
35.46 -120.969
35.459 -120.976
35.461 -121.001
35.461 -121.002
35.461 -121.003
35.485 -121.026
35.508 -121.053
35.51 -121.06
35.539 -121.092
35.54 -121.092
35.546 -121.099
35.549 -121.102
35.554 -121.105
35.569 -121.113
35.574 -121.116
35.593 -121.126
35.595 -121.128
35.6 -121.134
35.606 -121.144
35.607 -121.144
35.615 -121.15
35.618 -121.153
35.627 -121.16
35.635 -121.167
35.636 -121.167
35.643 -121.189
35.641 -121.195
35.645 -121.21
35.651 -121.231
35.657 -121.251
35.665 -121.268
35.667 -121.272
35.674 -121.285
35.683 -121.288
35.689 -121.29
35.697 -121.296
35.702 -121.305
35.704 -121.307
35.713 -121.315
35.715 -121.315
35.724 -121.315
35.75 -121.316
35.752 -121.316
35.753 -121.316
35.756 -121.317
35.769 -121.325
35.775 -121.328
35.782 -121.332
35.783 -121.332
35.784 -121.333
35.794 -121.345
35.795 -121.346
35.799 -121.351
35.802 -121.354
35.804 -121.357
35.805 -121.359
35.809 -121.364
35.815 -121.374
35.82 -121.383
35.823 -121.388
35.829 -121.393
35.845 -121.407
35.847 -121.408
35.855 -121.413
35.859 -121.423
35.86 -121.427
35.867 -121.44
35.873 -121.447
35.882 -121.458
35.886 -121.462
35.894 -121.462
