segment Ukraine
47.322 29.495
47.316 29.491
47.312 29.484
47.311 29.476
47.311 29.467
47.309 29.46
47.306 29.455
47.303 29.448
47.3 29.443
47.3 29.435
47.304 29.432
47.308 29.432
47.31 29.429
47.31 29.423
47.308 29.416
47.308 29.408
47.31 29.398
47.319 29.393
47.344 29.386
47.351 29.396
47.361 29.404
47.372 29.408
47.379 29.406
47.384 29.398
47.386 29.388
47.384 29.374
47.38 29.359
47.376 29.346
47.384 29.339
47.399 29.336
47.427 29.33
47.438 29.327
47.445 29.323
47.447 29.318
47.447 29.306
47.443 29.297
47.44 29.287
47.436 29.278
47.432 29.272
47.426 29.266
47.424 29.257
47.426 29.252
47.432 29.252
47.443 29.251
47.453 29.251
47.462 29.249
47.464 29.242
47.461 29.236
47.454 29.228
47.448 29.222
47.443 29.216
47.44 29.208
47.44 29.2
47.443 29.192
47.45 29.19
47.46 29.192
47.464 29.185
47.463 29.174
47.467 29.169
47.47 29.17
47.472 29.179
47.482 29.195
47.49 29.195
47.494 29.193
47.498 29.189
47.506 29.189
47.511 29.19
47.513 29.189
47.517 29.188
47.517 29.185
47.515 29.18
47.512 29.177
47.508 29.174
47.506 29.172
47.514 29.16
47.527 29.155
47.535 29.144
47.541 29.139
47.549 29.134
47.556 29.132
47.558 29.137
47.562 29.151
47.568 29.174
47.571 29.189
47.572 29.201
47.58 29.21
47.594 29.211
47.599 29.22
47.604 29.228
47.615 29.226
47.626 29.229
47.635 29.238
47.64 29.242
47.644 29.239
47.648 29.23
47.653 29.222
47.661 29.223
47.669 29.229
47.676 29.234
47.689 29.238
47.695 29.238
47.701 29.232
47.708 29.226
47.715 29.221
47.724 29.222
47.736 29.234
47.747 29.249
47.752 29.258
47.758 29.268
47.772 29.272
47.787 29.28
47.796 29.288
47.801 29.29
47.807 29.287
47.811 29.281
47.81 29.269
47.807 29.257
47.801 29.248
47.798 29.24
47.8 29.234
47.806 29.23
47.812 29.221
47.819 29.217
47.842 29.225
47.85 29.228
47.857 29.236
47.863 29.246
47.871 29.254
47.879 29.264
47.884 29.27
47.887 29.277
47.892 29.277
47.896 29.275
47.897 29.267
47.894 29.252
47.891 29.238
47.887 29.229
47.885 29.222
47.885 29.216
47.888 29.209
47.896 29.205
47.91 29.202
47.923 29.205
47.934 29.206
47.944 29.201
47.962 29.195
47.974 29.191
47.98 29.191
47.988 29.191
47.994 29.189
47.997 29.184
47.998 29.177
47.998 29.164
47.994 29.157
47.991 29.153
47.988 29.149
47.988 29.145
47.99 29.141
47.989 29.137
47.988 29.135
47.986 29.134
47.985 29.131
47.985 29.126
47.984 29.115
47.984 29.11
47.983 29.103
47.98 29.098
47.975 29.099
47.971 29.106
47.967 29.111
47.964 29.112
47.96 29.112
47.958 29.111
47.958 29.108
47.961 29.105
47.963 29.102
47.965 29.1
47.966 29.097
47.964 29.094
47.962 29.094
47.956 29.096
47.952 29.096
47.947 29.094
47.945 29.086
47.942 29.077
47.943 29.062
47.944 29.044
47.949 29.029
47.958 29.015
47.967 29.002
47.976 28.993
47.979 28.989
47.98 28.983
47.98 28.977
47.973 28.967
47.967 28.958
47.96 28.95
47.956 28.944
47.956 28.937
47.959 28.93
47.967 28.924
47.983 28.91
47.992 28.9
48 28.896
48.006 28.894
48.009 28.895
48.012 28.89
48.022 28.877
48.026 28.866
48.033 28.856
48.04 28.856
48.055 28.865
48.061 28.865
48.067 28.855
48.074 28.854
48.083 28.858
48.095 28.856
48.114 28.856
48.122 28.854
48.128 28.836
48.129 28.83
48.128 28.819
48.129 28.804
48.123 28.79
48.131 28.789
48.135 28.781
48.138 28.771
48.138 28.76
48.133 28.744
48.13 28.735
48.132 28.722
48.135 28.713
48.133 28.7
48.136 28.687
48.143 28.685
48.145 28.681
48.146 28.668
48.145 28.656
48.149 28.65
48.153 28.639
48.162 28.629
48.165 28.621
48.168 28.611
48.169 28.602
48.167 28.594
48.163 28.59
48.162 28.582
48.168 28.581
48.172 28.577
48.17 28.561
48.166 28.552
48.162 28.545
48.154 28.543
48.149 28.539
48.144 28.53
48.141 28.531
48.137 28.531
48.133 28.533
48.127 28.533
48.121 28.521
48.118 28.51
48.111 28.501
48.101 28.5
48.089 28.5
48.081 28.5
48.074 28.499
48.069 28.502
48.065 28.502
48.064 28.497
48.067 28.484
48.074 28.468
48.08 28.456
48.088 28.449
48.101 28.442
48.115 28.434
48.125 28.429
48.13 28.43
48.139 28.435
48.147 28.441
48.153 28.442
48.159 28.439
48.169 28.434
48.174 28.43
48.176 28.426
48.175 28.413
48.175 28.394
48.176 28.381
48.163 28.371
48.155 28.37
48.148 28.369
48.141 28.363
48.137 28.354
48.135 28.345
48.133 28.337
48.133 28.328
48.136 28.317
48.14 28.312
48.149 28.31
48.157 28.311
48.162 28.315
48.169 28.325
48.172 28.332
48.174 28.337
48.179 28.347
48.185 28.358
48.192 28.363
48.196 28.366
48.204 28.369
48.214 28.37
48.225 28.372
48.244 28.362
48.248 28.354
48.249 28.346
48.245 28.339
48.238 28.333
48.235 28.326
48.236 28.318
48.24 28.312
48.239 28.304
48.239 28.299
48.234 28.286
48.232 28.28
48.227 28.271
48.223 28.263
48.22 28.256
48.215 28.238
48.209 28.218
48.208 28.205
48.214 28.196
48.223 28.189
48.234 28.185
48.24 28.186
48.255 28.189
48.259 28.18
48.261 28.166
48.264 28.151
48.262 28.148
48.259 28.147
48.25 28.144
48.244 28.134
48.241 28.126
48.234 28.108
48.235 28.097
48.237 28.092
48.247 28.084
48.253 28.083
48.279 28.094
48.285 28.097
48.302 28.096
48.312 28.091
48.32 28.078
48.325 28.062
48.327 28.05
48.327 28.023
48.325 27.986
