segment Namibia
-28.816 19.241
-28.86 19.256
-28.865 19.26
-28.868 19.265
-28.874 19.282
-28.882 19.293
-28.888 19.296
-28.903 19.293
-28.908 19.288
-28.91 19.282
-28.904 19.261
-28.905 19.243
-28.907 19.238
-28.921 19.225
-28.941 19.209
-28.958 19.173
-28.958 19.17
-28.959 19.154
-28.963 19.143
-28.965 19.138
-28.966 19.128
-28.971 19.118
-28.971 19.111
-28.963 19.08
-28.956 19.065
-28.946 19.051
-28.94 19.047
-28.939 19.041
-28.938 19.035
-28.932 19.033
-28.931 19.028
-28.937 19.016
-28.937 19.01
-28.93 19.003
-28.912 19.002
-28.902 18.998
-28.886 18.986
-28.88 18.979
-28.873 18.966
-28.866 18.952
-28.865 18.949
-28.861 18.929
-28.859 18.911
-28.86 18.89
-28.853 18.874
-28.851 18.863
-28.852 18.845
-28.848 18.832
-28.847 18.813
-28.851 18.792
-28.851 18.79
-28.849 18.767
-28.846 18.76
-28.841 18.732
-28.841 18.724
-28.845 18.713
-28.846 18.699
-28.855 18.675
-28.855 18.665
-28.853 18.653
-28.846 18.627
-28.858 18.596
-28.861 18.559
-28.865 18.552
-28.87 18.547
-28.874 18.539
-28.874 18.533
-28.884 18.525
-28.885 18.524
-28.892 18.513
-28.893 18.505
-28.891 18.489
-28.887 18.475
-28.888 18.465
-28.901 18.435
-28.902 18.424
-28.898 18.39
-28.897 18.386
-28.898 18.371
-28.894 18.362
-28.883 18.35
-28.89 18.32
-28.885 18.291
-28.884 18.265
-28.89 18.258
-28.899 18.252
-28.901 18.248
-28.902 18.241
-28.9 18.23
-28.897 18.221
-28.897 18.215
-28.9 18.21
-28.91 18.205
-28.912 18.201
-28.916 18.188
-28.916 18.179
-28.905 18.172
-28.899 18.162
-28.897 18.153
-28.898 18.141
-28.898 18.124
-28.895 18.116
-28.877 18.084
-28.876 18.075
-28.88 18.063
-28.881 18.053
-28.873 18.042
-28.851 18.02
-28.844 18.013
-28.827 18.005
-28.813 17.989
-28.804 17.969
-28.797 17.963
-28.79 17.956
-28.79 17.938
-28.785 17.931
-28.772 17.92
-28.771 17.92
-28.768 17.916
-28.767 17.911
-28.773 17.903
-28.773 17.896
-28.769 17.886
-28.77 17.88
-28.77 17.874
-28.766 17.868
-28.766 17.851
-28.763 17.843
-28.761 17.818
-28.761 17.786
-28.762 17.786
-28.762 17.782
-28.764 17.777
-28.763 17.769
-28.753 17.756
-28.749 17.751
-28.748 17.745
-28.752 17.739
-28.762 17.73
-28.765 17.724
-28.764 17.719
-28.751 17.705
-28.75 17.701
-28.751 17.696
-28.77 17.673
-28.774 17.665
-28.774 17.647
-28.771 17.638
-28.767 17.625
-28.767 17.622
-28.762 17.614
-28.759 17.612
-28.76 17.61
-28.746 17.605
-28.713 17.601
-28.701 17.598
-28.696 17.593
-28.694 17.587
-28.692 17.568
-28.692 17.56
-28.694 17.555
-28.704 17.547
-28.701 17.51
-28.694 17.49
-28.699 17.486
-28.711 17.453
-28.711 17.448
-28.72 17.434
-28.724 17.426
-28.725 17.413
-28.723 17.409
-28.712 17.407
-28.698 17.411
-28.679 17.412
-28.663 17.415
-28.658 17.42
-28.635 17.422
-28.623 17.426
-28.622 17.426
-28.614 17.426
-28.599 17.421
-28.58 17.427
-28.573 17.427
-28.568 17.417
-28.569 17.395
-28.572 17.382
-28.572 17.377
-28.562 17.374
-28.543 17.373
-28.54 17.373
-28.522 17.368
-28.506 17.357
-28.502 17.343
-28.496 17.336
-28.486 17.332
-28.471 17.33
-28.461 17.333
-28.447 17.34
-28.438 17.35
-28.437 17.351
-28.435 17.385
-28.432 17.389
-28.411 17.404
-28.38 17.41
-28.371 17.409
-28.364 17.407
-28.352 17.398
-28.349 17.396
-28.333 17.379
-28.324 17.375
-28.317 17.375
-28.302 17.379
-28.301 17.379
-28.295 17.378
-28.287 17.374
-28.27 17.356
-28.255 17.348
-28.244 17.345
-28.24 17.342
-28.237 17.338
-28.235 17.329
-28.225 17.312
-28.224 17.305
-28.227 17.299
-28.235 17.289
-28.243 17.283
-28.246 17.26
-28.239 17.251
-28.24 17.245
-28.252 17.231
-28.253 17.225
-28.252 17.221
-28.241 17.208
-28.239 17.203
-28.232 17.197
-28.23 17.195
-28.205 17.18
-28.181 17.181
-28.14 17.19
-28.13 17.193
-28.123 17.193
-28.113 17.188
-28.102 17.174
-28.104 17.169
-28.103 17.159
-28.097 17.144
-28.089 17.132
-28.062 17.117
-28.055 17.109
-28.054 17.108
-28.038 17.083
-28.043 17.065
-28.046 17.06
-28.055 17.027
-28.055 17.023
-28.058 17.018
-28.072 17.008
-28.077 17.002
-28.077 16.997
-28.076 16.992
-28.075 16.99
-28.07 16.984
-28.063 16.971
-28.064 16.966
-28.078 16.958
-28.081 16.954
-28.08 16.941
-28.074 16.923
-28.071 16.908
-28.072 16.9
-28.078 16.895
-28.089 16.884
-28.097 16.882
-28.104 16.88
-28.136 16.887
-28.148 16.881
-28.156 16.88
-28.169 16.887
-28.173 16.885
-28.181 16.876
-28.181 16.87
-28.171 16.852
-28.168 16.843
-28.168 16.84
-28.168 16.833
-28.17 16.83
-28.173 16.828
-28.184 16.833
-28.197 16.845
-28.205 16.85
-28.21 16.85
-28.214 16.848
-28.214 16.847
-28.216 16.845
-28.217 16.835
-28.218 16.819
-28.217 16.803
-28.219 16.801
-28.224 16.801
-28.231 16.805
-28.237 16.813
-28.242 16.821
-28.254 16.824
-28.273 16.818
-28.276 16.814
-28.278 16.809
-28.276 16.798
-28.272 16.788
-28.26 16.776
-28.259 16.772
-28.264 16.759
-28.268 16.755
-28.286 16.749
-28.289 16.748
-28.296 16.75
-28.306 16.756
-28.318 16.772
-28.328 16.779
-28.335 16.782
-28.345 16.787
-28.351 16.793
-28.354 16.804
-28.366 16.809
-28.37 16.796
-28.38 16.787
-28.382 16.785
-28.398 16.767
-28.403 16.765
-28.409 16.765
-28.442 16.774
-28.448 16.772
-28.45 16.768
-28.452 16.761
-28.461 16.75
-28.471 16.743
-28.484 16.737
-28.493 16.733
-28.498 16.727
-28.501 16.718
-28.502 16.709
-28.5 16.7
-28.498 16.697
-28.486 16.691
-28.475 16.688
-28.473 16.683
-28.473 16.671
