segment Switzerland
47.583 7.818
47.586 7.818
47.589 7.827
47.589 7.833
47.586 7.844
47.589 7.865
47.591 7.881
47.59 7.891
47.588 7.902
47.587 7.904
47.578 7.911
47.56 7.914
47.556 7.917
47.552 7.927
47.549 7.94
47.549 7.947
47.552 7.951
47.558 7.954
47.559 7.957
47.56 7.985
47.561 7.995
47.559 8.002
47.554 8.012
47.554 8.02
47.557 8.033
47.559 8.045
47.561 8.052
47.568 8.061
47.57 8.067
47.565 8.082
47.563 8.088
47.563 8.094
47.566 8.098
47.582 8.106
47.587 8.112
47.588 8.128
47.59 8.133
47.592 8.139
47.597 8.146
47.599 8.158
47.6 8.167
47.604 8.176
47.608 8.185
47.611 8.189
47.619 8.197
47.623 8.203
47.627 8.211
47.626 8.219
47.622 8.224
47.616 8.228
47.615 8.23
47.615 8.234
47.615 8.236
47.616 8.24
47.62 8.254
47.622 8.258
47.615 8.269
47.615 8.277
47.616 8.286
47.613 8.295
47.608 8.301
47.6 8.299
47.597 8.301
47.592 8.314
47.58 8.327
47.578 8.331
47.577 8.334
47.576 8.338
47.572 8.357
47.571 8.376
47.573 8.388
47.581 8.399
47.581 8.404
47.578 8.413
47.577 8.417
47.574 8.431
47.573 8.433
47.574 8.439
47.576 8.447
47.577 8.457
47.58 8.476
47.583 8.488
47.583 8.49
47.59 8.49
47.593 8.486
47.595 8.466
47.598 8.461
47.606 8.468
47.62 8.496
47.625 8.514
47.637 8.523
47.636 8.531
47.628 8.548
47.628 8.557
47.626 8.56
47.621 8.569
47.614 8.574
47.605 8.57
47.6 8.596
47.604 8.596
47.613 8.604
47.619 8.606
47.63 8.602
47.642 8.598
47.649 8.6
47.653 8.607
47.655 8.611
47.65 8.611
47.643 8.609
47.642 8.617
47.645 8.623
47.651 8.626
47.657 8.623
47.675 8.598
47.67 8.584
47.672 8.557
47.669 8.546
47.662 8.542
47.663 8.533
47.66 8.528
47.652 8.532
47.649 8.529
47.648 8.522
47.65 8.506
47.647 8.495
