        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  1.729E+02  1.730E+02  2.419E-01  1.212E-01  4.826E-01  4.346E+00  2.178E+00  8.672E+00
  1.781E+02  1.782E+02  2.341E-01  1.173E-01  4.670E-01  4.269E+00  2.140E+00  8.518E+00
  1.836E+02  1.836E+02  2.265E-01  1.135E-01  4.518E-01  4.193E+00  2.101E+00  8.366E+00
  1.891E+02  1.892E+02  2.191E-01  1.098E-01  4.371E-01  4.117E+00  2.063E+00  8.215E+00
  1.949E+02  1.950E+02  2.119E-01  1.062E-01  4.228E-01  4.042E+00  2.026E+00  8.065E+00
  2.008E+02  2.009E+02  2.049E-01  1.027E-01  4.088E-01  3.968E+00  1.989E+00  7.917E+00
  2.069E+02  2.070E+02  1.981E-01  9.929E-02  3.953E-01  3.894E+00  1.952E+00  7.770E+00
  2.132E+02  2.133E+02  1.915E-01  9.598E-02  3.821E-01  3.821E+00  1.915E+00  7.625E+00
  2.197E+02  2.198E+02  1.851E-01  9.277E-02  3.693E-01  3.749E+00  1.879E+00  7.480E+00
  2.264E+02  2.264E+02  1.789E-01  8.964E-02  3.569E-01  3.677E+00  1.843E+00  7.337E+00
  2.333E+02  2.333E+02  1.728E-01  8.661E-02  3.448E-01  3.606E+00  1.807E+00  7.196E+00
  2.404E+02  2.404E+02  1.669E-01  8.366E-02  3.330E-01  3.536E+00  1.772E+00  7.055E+00
  2.477E+02  2.477E+02  1.612E-01  8.079E-02  3.216E-01  3.466E+00  1.737E+00  6.916E+00
  2.552E+02  2.553E+02  1.556E-01  7.800E-02  3.105E-01  3.397E+00  1.703E+00  6.778E+00
  2.630E+02  2.630E+02  1.502E-01  7.529E-02  2.997E-01  3.329E+00  1.668E+00  6.642E+00
  2.710E+02  2.710E+02  1.450E-01  7.266E-02  2.893E-01  3.261E+00  1.634E+00  6.506E+00
  2.792E+02  2.793E+02  1.399E-01  7.011E-02  2.791E-01  3.194E+00  1.601E+00  6.372E+00
  2.877E+02  2.877E+02  1.349E-01  6.763E-02  2.692E-01  3.127E+00  1.567E+00  6.239E+00
  2.965E+02  2.965E+02  1.301E-01  6.521E-02  2.596E-01  3.061E+00  1.534E+00  6.108E+00
  3.055E+02  3.055E+02  1.254E-01  6.287E-02  2.503E-01  2.996E+00  1.501E+00  5.977E+00
  3.148E+02  3.148E+02  1.209E-01  6.060E-02  2.412E-01  2.931E+00  1.469E+00  5.848E+00
  3.243E+02  3.244E+02  1.165E-01  5.839E-02  2.325E-01  2.867E+00  1.437E+00  5.720E+00
  3.342E+02  3.342E+02  1.122E-01  5.625E-02  2.239E-01  2.803E+00  1.405E+00  5.593E+00
  3.444E+02  3.444E+02  1.081E-01  5.417E-02  2.156E-01  2.740E+00  1.373E+00  5.468E+00
  3.548E+02  3.549E+02  1.040E-01  5.215E-02  2.076E-01  2.678E+00  1.342E+00  5.343E+00
  3.656E+02  3.657E+02  1.001E-01  5.019E-02  1.998E-01  2.616E+00  1.311E+00  5.220E+00
  3.767E+02  3.768E+02  9.634E-02  4.828E-02  1.922E-01  2.555E+00  1.281E+00  5.098E+00
  3.882E+02  3.882E+02  9.266E-02  4.644E-02  1.849E-01  2.494E+00  1.250E+00  4.977E+00
  4.000E+02  4.000E+02  8.909E-02  4.465E-02  1.778E-01  2.434E+00  1.220E+00  4.857E+00
